page path,document type,document supertype,number of sessions that visit this page,number of sessions where this page is an entrance hit,number of sessions where this page is an exit hit,number of sessions where this page is both an entrance and exit hit,tfdf_max,label
/government/publications/entering-the-uk-as-the-holder-of-an-article-10-residence-card/entering-the-uk-as-the-holder-of-an-article-10-residence-card,html_publication,other,2,0,1,0,2,
/government/publications/change-of-name-guidance/use-and-change-of-names,html_publication,other,2,0,2,0,2,
/masters-loan/eligibility,guide,services,8,1,0,0,2,
/guidance/changes-to-the-driving-licence-and-categories,detailed_guide,guidance and regulation,4,1,2,0,2,
/building-regulations-approval,guide,services,3,0,0,0,2,
/browse/justice/young-people,mainstream_browse_page,other,19,4,0,0,2,
/government/publications/the-fit-note-a-guide-for-patients-and-employees,guidance,guidance and regulation,21,2,5,1,2,
/topic/business-tax/construction-industry-scheme,topic,other,2,0,0,0,2,
/calculate-tax-rates-for-new-cars,transaction,services,18,3,1,0,2,
/tax-national-insurance-after-state-pension-age/claiming-back-tax-or-national-insurance,guide,services,16,2,1,0,2,
/government/publications/dg1-online-confidential-medical-information,form,services,1,0,0,0,2,
/power-of-attorney/end,guide,services,2,0,0,0,2,
/gwneud-cais-copi-cofnod-troseddol,transaction,services,34,11,4,0,2,
/become-an-mot-tester,guide,services,11,1,5,0,2,
/government/publications/application-registration-card-and-standard-acknowledgment-letter,guidance,guidance and regulation,2,1,0,0,2,
/government/publications/application-to-settle-in-the-uk-form-seto/apply-online-form-seto,html_publication,other,4,1,0,0,2,
/government/publications/residence-domicile-and-remittance-basis-rules-uk-tax-liability/guidance-note-for-residence-domicile-and-the-remittance-basis-rdr1,html_publication,other,2,0,0,0,2,
/government/publications/new-state-pension-direct-mail-trial-evaluation,research,research and statistics,1,0,0,0,2,
/vehicle-registration-schemes-for-the-motor-trade,guide,services,2,0,0,0,2,
/government/organisations/civil-aviation-authority,organisation,other,2,0,1,0,2,
/temporary-worker-charity-worker-visa/apply,guide,services,4,0,0,0,2,
/plan-retirement-income/pensions-from-the-government,guide,services,32,2,0,0,2,
/government/publications/the-national-minimum-wage-in-2020,research,research and statistics,2,1,1,0,2,
/credyd-cynhwysol,guide,services,2,1,0,0,2,
/payroll-annual-reporting/give-employees-p60-form,guide,services,5,0,0,0,2,
/1619-bursary-fund/how-to-claim,guide,services,29,1,0,0,2,
/government/publications/nhs-pension-scheme-contributions-calculator-for-2013-to-2014,guidance,guidance and regulation,1,0,0,0,2,
/expenses-and-benefits-travel,guide,services,4,0,0,0,2,
/government/organisations/border-force/about/recruitment,recruitment,other,25,15,7,1,2,
/government/publications/rates-and-allowances-pension-schemes,guidance,guidance and regulation,5,0,0,0,2,
/health-care-worker-visa/your-partner-and-children,guide,services,11,1,1,0,2,
/disabled-facilities-grants/what-youll-get,guide,services,42,1,0,0,2,
/government/publications/claim-for-loss-of-notice-factsheet-rp2/claim-for-loss-of-notice-pay-rp2,html_publication,other,6,0,0,0,2,
/guidance/what-to-do-if-your-employee-has-more-than-1-job,detailed_guide,guidance and regulation,4,2,0,0,2,
/keeping-your-pay-tax-records/employees-and-limited-company-directors,guide,services,11,0,0,0,1,
/deferring-state-pension/tax-and-inheritance,guide,services,24,3,0,0,1,
/government/publications/our-customer-charter/our-customer-charter,html_publication,other,3,2,0,0,1,
/joint-property-ownership/check-your-ownership-details,guide,services,4,0,0,0,1,
/guidance/confirmation-statement-guidance,detailed_guide,guidance and regulation,5,1,1,0,1,
/bankruptcy/your-home,guide,services,3,0,0,0,1,
/government/publications/automatic-acquisition-nationality-policy-guidance/automatic-acquisition,html_publication,other,2,1,0,0,1,
/government/publications/a-plan-for-jobs-documents/a-plan-for-jobs-2020,html_publication,other,2,0,0,1,1,
/married-couples-allowance/eligibility,guide,services,6,0,0,0,1,
/register-coronavirus-antibody-test,transaction,services,6,2,2,0,1,
/government/publications/publication-of-data-on-advanced-notification-of-redundancy-scheme,transparency,transparency,1,0,0,0,1,
/plan-adoption-leave,smart_answer,services,4,0,0,0,1,
/government/organisations/hm-revenue-customs/contact/child-trust-fund,contact,other,2,0,0,0,1,
/government/publications/overseas-registries,guidance,guidance and regulation,1,0,0,0,1,
/world/yemen,taxon,other,1,0,0,0,1,
/government/publications/access-to-work-guide-for-employers,guidance,guidance and regulation,29,2,8,1,1,
/guidance/eastwood-park-prison,detailed_guide,guidance and regulation,1,1,0,0,1,
/pay-dvla-fine,transaction,services,6,4,0,0,1,
/check-university-award-degree/recognised-awards,guide,services,12,1,0,0,1,
/government/publications/global-talent-endorsing-bodies/technical-or-business-skills-covered-by-tech-nation,html_publication,other,2,0,0,0,1,
/employee-reservist/mobilisation,guide,services,2,0,0,0,1,
/verify-apostille,transaction,services,4,0,0,0,1,
/support-child-or-partners-student-finance-application/if-you-need-to-update-your-details,guide,services,4,0,2,0,1,
/government/publications/summer-schools-programme,guidance,guidance and regulation,1,0,0,0,1,
/control-dog-public,guide,services,5,0,0,0,1,
/legal-rights-when-using-surrogates-and-donors/become-the-childs-legal-parent,guide,services,3,0,0,0,1,
/government/publications/termination-of-esfa-funding-agreements/termination-of-esfa-funding-agreements-guidance-for-employers,html_publication,other,1,0,0,0,1,
/guidance/what-to-send-to-the-charity-commission-and-how-to-get-help,detailed_guide,guidance and regulation,1,0,0,0,1,
