page path,document type,document supertype,number of sessions that visit this page,number of sessions where this page is an entrance hit,number of sessions where this page is an exit hit,number of sessions where this page is both an entrance and exit hit,tfdf_max
/dvlaforms,transaction,services,33,3,8,0,6.0
/penalty-points-endorsements/how-to-check-your-endorsement-details,guide,services,27,2,7,0,6.0
/government/publications/uk-points-based-immigration-system-employer-information/the-uks-points-based-immigration-system-an-introduction-for-employers,html_publication,other,25,7,8,0,6.0
/pay-voluntary-class-3-national-insurance/by-post,guide,services,9,0,0,0,6.0
/self-assessment-tax-returns/corrections,guide,services,10,1,0,0,6.0
/british-national-overseas-bno-visa,guide,services,81,5,13,1,6.0
/browse/driving/number-plate,mainstream_browse_page,other,26,2,0,0,6.0
/budgeting-help-benefits/repayments,guide,services,106,2,1,0,6.0
/foreign-travel-advice/netherlands,travel_advice,guidance and regulation,9,0,3,0,6.0
/register-with-the-police,guide,services,18,3,3,0,6.0
/pay-dartford-crossing-charge,guide,services,24,4,12,3,6.0
/advanced-learner-loan/how-to-apply,guide,services,61,16,0,2,6.0
/skilled-worker-visa/extend-your-visa,guide,services,15,1,3,0,6.0
/government/publications/find-a-skills-bootcamp/list-of-skills-bootcamps,html_publication,other,56,19,6,2,6.0
/part-time-worker-rights,answer,services,51,9,11,1,6.0
/workplace-pensions/changing-jobs-and-taking-leave,guide,services,56,7,4,0,6.0
/government/organisations/department-for-work-pensions/about/statistics,statistics,research and statistics,19,1,1,0,6.0
/discrimination-your-rights,guide,services,108,7,0,0,6.0
/settled-status-eu-citizens-families/join-eu-eea-swiss-family-member,guide,services,102,7,2,0,6.0
/financial-help-disabled/home-and-housing,guide,services,46,2,2,0,6.0
/government/publications/disability-confident-guidance-for-levels-1-2-and-3,guidance,guidance and regulation,8,0,0,0,6.0
/send-fit-note,transaction,services,112,40,28,1,6.0
/when-is-your-next-tax-credits-payment,answer,services,29,1,3,0,6.0
/government/collections/disability-confident-campaign,document_collection,other,32,10,10,0,6.0
/redundancy-your-rights/get-help-finding-a-new-job,guide,services,66,9,6,0,6.0
/bills-benefits,answer,services,110,2,25,17,6.0
/employers-sick-pay/entitlement,guide,services,62,6,8,0,6.0
/postgraduate-scholarships-international-students,answer,services,27,6,1,0,6.0
/check-british-citizenship,guide,services,50,2,11,0,6.0
/student-finance-forms,simple_smart_answer,services,14,4,2,1,6.0
/attendance-allowance/report-change-in-circumstances,guide,services,45,11,3,0,6.0
/support-visit-benefit-claim,answer,services,88,4,1,1,6.0
/recruitment-disabled-people/encouraging-applications,guide,services,20,0,2,1,6.0
/redundancy-your-rights/notice-periods,guide,services,137,16,14,6,6.0
/check-vehicle-e10-petrol,transaction,services,39,12,19,0,6.0
/health-care-worker-visa/extend-your-visa,guide,services,8,0,0,0,6.0
/definition-of-disability-under-equality-act-2010,answer,services,144,14,19,3,6.0
/additional-state-pension/how-to-claim,guide,services,93,4,1,0,6.0
/browse/childcare-parenting/childcare,mainstream_browse_page,other,72,1,0,0,6.0
